S.No.,Country,2018-2019,%Share,2019-2020,%Share,%Growth
1,AFGHANISTAN,435.44,0.08,529.84,0.11,21.68
2,ALBANIA,22.62,0.00,47.51,0.01,110.07
3,ALGERIA,1696.96,0.33,1996.76,0.42,17.67
4,AMERI SAMOA,0.00,0.00,3.08,0.00,770050.00
5,ANDORRA,0.04,0.00,0.03,0.00,-13.07
6,ANGOLA,4027.49,0.78,3649.02,0.77,-9.40
7,ANGUILLA,0.19,0.00,0.10,0.00,-49.51
8,ANTARTICA,0.03,0.00,0.08,0.00,138.32
9,ANTIGUA,0.15,0.00,0.20,0.00,30.01
10,ARGENTINA,1954.99,0.38,2327.26,0.49,19.04
11,ARMENIA,0.91,0.00,1.56,0.00,71.56
12,ARUBA,0.55,0.00,0.30,0.00,-44.39
13,AUSTRALIA,13131.21,2.55,9782.22,2.06,-25.50
14,AUSTRIA,716.43,0.14,629.74,0.13,-12.10
15,AZERBAIJAN,147.87,0.03,273.91,0.06,85.23
16,BAHAMAS,39.21,0.01,14.70,0.00,-62.52
17,BAHARAIN IS,539.63,0.11,421.50,0.09,-21.89
18,BANGLADESH PR,1044.80,0.20,1264.74,0.27,21.05
19,BARBADOS,1.74,0.00,1.48,0.00,-15.09
20,BELARUS,227.19,0.04,147.44,0.03,-35.10
21,BELGIUM,10469.22,2.04,8879.46,1.87,-15.19
22,BELIZE,0.65,0.00,0.96,0.00,46.26
23,BENIN,375.81,0.07,358.94,0.08,-4.49
24,BERMUDA,7.69,0.00,0.00,0.00,0.00
25,BHUTAN,370.96,0.07,405.73,0.09,9.37
26,BOLIVIA,852.21,0.17,845.88,0.18,-0.74
27,BOSNIA-HRZGOVIN,2.45,0.00,3.33,0.00,35.49
28,BOTSWANA,974.48,0.19,744.00,0.16,-23.65
29,BR VIRGN IS,16.83,0.00,8.57,0.00,-49.08
30,BRAZIL,4406.43,0.86,3074.97,0.65,-30.22
31,BRUNEI,591.10,0.12,586.28,0.12,-0.82
32,BULGARIA,125.66,0.02,144.06,0.03,14.64
33,BURKINA FASO,881.27,0.17,542.67,0.11,-38.42
34,BURUNDI,4.55,0.00,3.83,0.00,-15.92
35,C AFRI REP,2.02,0.00,0.56,0.00,-72.15
36,CAMBODIA,42.63,0.01,46.69,0.01,9.53
37,CAMEROON,343.20,0.07,676.36,0.14,97.07
38,CANADA,3515.41,0.68,3880.33,0.82,10.38
39,CAPE VERDE IS,2.91,0.00,2.04,0.00,-29.71
40,CAYMAN IS,0.23,0.00,1.44,0.00,511.76
41,CHAD,476.13,0.09,270.75,0.06,-43.14
42,CHILE,1237.55,0.24,1175.67,0.25,-5.00
43,CHINA P RP,70319.64,13.68,65260.75,13.75,-7.19
44,CHRISTMAS IS.,0.00,0.00,0.01,0.00,0.00
45,COCOS IS,0.00,0.00,0.00,0.00,0.00
46,COLOMBIA,1054.98,0.21,810.95,0.17,-23.13
47,COMOROS,32.39,0.01,19.65,0.00,-39.34
48,CONGO D. REP.,19.01,0.00,32.13,0.01,68.96
49,CONGO P REP,405.65,0.08,587.50,0.12,44.83
50,COOK IS,0.02,0.00,0.00,0.00,0.00
51,COSTA RICA,50.56,0.01,48.71,0.01,-3.66
52,COTE D' IVOIRE,603.05,0.12,454.88,0.10,-24.57
53,CROATIA,38.92,0.01,57.18,0.01,46.91
54,CUBA,3.80,0.00,3.53,0.00,-7.10
55,CYPRUS,393.78,0.08,74.43,0.02,-81.10
56,CZECH REPUBLIC,258.84,0.05,299.42,0.06,15.68
57,DENMARK,537.30,0.10,632.40,0.13,17.70
58,DJIBOUTI,15.82,0.00,19.54,0.00,23.49
59,DOMINIC REP,566.57,0.11,361.11,0.08,-36.26
60,DOMINICA,0.31,0.00,0.25,0.00,-20.24
61,ECUADOR,219.25,0.04,361.60,0.08,64.92
62,EGYPT A RP,1677.82,0.33,2031.38,0.43,21.07
63,EL SALVADOR,4.20,0.00,3.20,0.00,-23.66
64,EQUTL GUINEA,634.12,0.12,972.88,0.20,53.42
65,ERITREA,0.00,0.00,0.00,0.00,0.00
66,ESTONIA,108.21,0.02,54.06,0.01,-50.04
67,ETHIOPIA,55.01,0.01,98.55,0.02,79.16
68,FALKLAND IS,0.00,0.00,0.03,0.00,0.00
69,FAROE IS.,0.03,0.00,0.00,0.00,0.00
70,FIJI IS,0.71,0.00,0.57,0.00,-19.45
71,FINLAND,1124.08,0.22,625.65,0.13,-44.34
72,FR GUIANA,1.82,0.00,2.90,0.00,59.42
73,FR POLYNESIA,0.01,0.00,0.05,0.00,439.00
74,FRANCE,6665.67,1.30,6168.82,1.30,-7.45
75,GABON,456.01,0.09,138.40,0.03,-69.65
76,GAMBIA,45.05,0.01,40.95,0.01,-9.10
77,GEORGIA,22.18,0.00,11.40,0.00,-48.62
78,GERMANY,15161.08,2.95,13691.11,2.88,-9.70
79,GHANA,3763.41,0.73,1773.55,0.37,-52.87
80,GIBRALTAR,0.03,0.00,1.01,0.00,3131.83
81,GREECE,144.02,0.03,123.71,0.03,-14.10
82,GRENADA,0.48,0.00,0.48,0.00,-0.02
83,GUADELOUPE,0.37,0.00,0.20,0.00,-46.23
84,GUAM,0.00,0.00,0.00,0.00,-36.00
85,GUATEMALA,16.27,0.00,22.95,0.00,41.00
86,GUINEA,414.26,0.08,416.30,0.09,0.49
87,GUINEA BISSAU,123.79,0.02,124.54,0.03,0.60
88,GUYANA,6.42,0.00,6.95,0.00,8.37
89,HAITI,13.75,0.00,13.94,0.00,1.36
90,HONDURAS,18.25,0.00,19.32,0.00,5.86
91,HONG KONG,17987.01,3.50,16935.32,3.57,-5.85
92,HUNGARY,241.15,0.05,187.68,0.04,-22.17
93,ICELAND,8.67,0.00,10.41,0.00,20.13
94,INDONESIA,15849.67,3.08,15061.87,3.17,-4.97
95,IRAN,13525.64,2.63,1397.33,0.29,-89.67
96,IRAQ,22372.47,4.35,23740.18,5.00,6.11
97,IRELAND,422.52,0.08,604.15,0.13,42.99
98,ISRAEL,1931.58,0.38,1592.70,0.34,-17.54
99,ITALY,5292.38,1.03,4490.92,0.95,-15.14
