S.No.,Country,2019-2020,%Share,2020-2021,%Share,%Growth
1,AFGHANISTAN,997.58 ,0.32 ,825.78 ,0.28 ,(17.22)
2,ALBANIA,44.12 ,0.01 ,46.75 ,0.02 ,5.97 
3,ALGERIA,611.02 ,0.20 ,594.74 ,0.20 ,(2.66)
4,AMERI SAMOA,0.13 ,0.00 ,0.58 ,0.00 ,348.65 
5,ANDORRA,0.08 ,0.00 ,0.02 ,0.00 ,(74.17)
6,ANGOLA,285.10 ,0.09 ,259.60 ,0.09 ,(8.94)
7,ANGUILLA,0.04 ,0.00 ,0.05 ,0.00 ,13.68 
8,ANTARTICA,0.02 ,0.00 ,1.05 ,0.00 ,"4,768.52 "
9,ANTIGUA,2.19 ,0.00 ,1.62 ,0.00 ,(26.15)
10,ARGENTINA,763.24 ,0.24 ,687.84 ,0.24 ,(9.88)
11,ARMENIA,40.49 ,0.01 ,69.83 ,0.02 ,72.48 
12,ARUBA,9.87 ,0.00 ,2.79 ,0.00 ,(71.68)
13,AUSTRALIA,"2,852.14 ",0.91 ,"4,043.88 ",1.39 ,41.78 
14,AUSTRIA,455.59 ,0.15 ,453.07 ,0.16 ,(0.55)
15,AZERBAIJAN,53.21 ,0.02 ,50.81 ,0.02 ,(4.50)
16,BAHAMAS,60.48 ,0.02 ,4.56 ,0.00 ,(92.45)
17,BAHARAIN IS,559.09 ,0.18 ,528.25 ,0.18 ,(5.52)
18,BANGLADESH PR,"8,200.75 ",2.62 ,"9,691.56 ",3.32 ,18.18 
19,BARBADOS,12.76 ,0.00 ,11.10 ,0.00 ,(13.00)
20,BELARUS,55.77 ,0.02 ,62.30 ,0.02 ,11.72 
21,BELGIUM,"5,809.88 ",1.85 ,"5,235.59 ",1.79 ,(9.88)
22,BELIZE,14.27 ,0.00 ,9.43 ,0.00 ,(33.90)
23,BENIN,326.62 ,0.10 ,555.20 ,0.19 ,69.99 
24,BERMUDA,2.48 ,0.00 ,4.50 ,0.00 ,81.73 
25,BHUTAN,738.60 ,0.24 ,701.02 ,0.24 ,(5.09)
26,BOLIVIA,113.46 ,0.04 ,94.33 ,0.03 ,(16.86)
27,BOSNIA-HRZGOVIN,15.32 ,0.00 ,15.09 ,0.01 ,(1.51)
28,BOTSWANA,178.74 ,0.06 ,172.69 ,0.06 ,(3.39)
29,BR VIRGN IS,0.49 ,0.00 ,0.25 ,0.00 ,(48.24)
30,BRAZIL,"3,967.39 ",1.27 ,"4,244.94 ",1.45 ,7.00 
31,BRUNEI,57.62 ,0.02 ,62.91 ,0.02 ,9.18 
32,BULGARIA,158.90 ,0.05 ,170.35 ,0.06 ,7.21 
33,BURKINA FASO,153.94 ,0.05 ,207.87 ,0.07 ,35.03 
34,BURUNDI,58.47 ,0.02 ,64.02 ,0.02 ,9.50 
35,C AFRI REP,55.63 ,0.02 ,23.71 ,0.01 ,(57.37)
36,CAMBODIA,188.12 ,0.06 ,168.86 ,0.06 ,(10.24)
37,CAMEROON,228.45 ,0.07 ,279.07 ,0.10 ,22.16 
38,CANADA,"2,851.79 ",0.91 ,"2,960.77 ",1.01 ,3.82 
39,CAPE VERDE IS,2.17 ,0.00 ,3.31 ,0.00 ,52.22 
40,CAYMAN IS,6.58 ,0.00 ,4.32 ,0.00 ,(34.36)
41,CHAD,58.69 ,0.02 ,59.23 ,0.02 ,0.92 
42,CHILE,793.43 ,0.25 ,805.00 ,0.28 ,1.46 
43,CHINA P RP,"16,612.75 ",5.30 ,"21,187.15 ",7.26 ,27.54 
44,CHRISTMAS IS.,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
45,COCOS IS,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
46,COLOMBIA,"1,043.41 ",0.33 ,864.99 ,0.30 ,(17.10)
47,COMOROS,18.88 ,0.01 ,18.26 ,0.01 ,(3.27)
48,CONGO D. REP.,352.77 ,0.11 ,430.33 ,0.15 ,21.98 
49,CONGO P REP,112.91 ,0.04 ,109.84 ,0.04 ,(2.72)
50,COOK IS,0.32 ,0.00 ,0.07 ,0.00 ,(77.50)
51,COSTA RICA,126.63 ,0.04 ,113.88 ,0.04 ,(10.06)
52,COTE D' IVOIRE,414.67 ,0.13 ,585.96 ,0.20 ,41.31 
53,CROATIA,146.97 ,0.05 ,141.91 ,0.05 ,(3.44)
54,CUBA,47.51 ,0.02 ,20.33 ,0.01 ,(57.20)
55,CYPRUS,443.28 ,0.14 ,90.11 ,0.03 ,(79.67)
56,CZECH REPUBLIC,496.35 ,0.16 ,485.48 ,0.17 ,(2.19)
57,DENMARK,733.96 ,0.23 ,755.25 ,0.26 ,2.90 
58,DJIBOUTI,316.01 ,0.10 ,347.06 ,0.12 ,9.83 
59,DOMINIC REP,213.32 ,0.07 ,209.06 ,0.07 ,(2.00)
60,DOMINICA,2.17 ,0.00 ,1.87 ,0.00 ,(14.03)
61,ECUADOR,253.00 ,0.08 ,207.89 ,0.07 ,(17.83)
62,EGYPT A RP,"2,504.23 ",0.80 ,"2,264.37 ",0.78 ,(9.58)
63,EL SALVADOR,79.34 ,0.03 ,84.12 ,0.03 ,6.03 
64,EQUTL GUINEA,10.92 ,0.00 ,14.19 ,0.00 ,29.97 
65,ERITREA,5.92 ,0.00 ,9.46 ,0.00 ,59.84 
66,ESTONIA,65.44 ,0.02 ,51.83 ,0.02 ,(20.80)
67,ETHIOPIA,798.31 ,0.25 ,684.32 ,0.23 ,(14.28)
68,FALKLAND IS,0.08 ,0.00 ,0.00 ,0.00 ,0.00 
69,FAROE IS.,0.91 ,0.00 ,0.27 ,0.00 ,(70.46)
70,FIJI IS,55.70 ,0.02 ,46.90 ,0.02 ,(15.79)
71,FINLAND,268.63 ,0.09 ,284.36 ,0.10 ,5.85 
72,FR GUIANA,0.98 ,0.00 ,1.78 ,0.00 ,81.62 
73,FR POLYNESIA,6.04 ,0.00 ,5.67 ,0.00 ,(6.26)
74,FRANCE,"5,097.81 ",1.63 ,"4,782.18 ",1.64 ,(6.19)
75,GABON,45.55 ,0.01 ,58.70 ,0.02 ,28.89 
76,GAMBIA,132.33 ,0.04 ,129.59 ,0.04 ,(2.07)
77,GEORGIA,82.77 ,0.03 ,99.32 ,0.03 ,19.99 
78,GERMANY,"8,290.90 ",2.65 ,"8,124.93 ",2.78 ,(2.00)
